numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20160119150000;101710;-10;5;60;1.300000;273.950000;267.250000;61;15000;1;0;0;10;1;mq;30;23;11;100800;mq;mq;290;mq;mq;mq;mq;267.650000;mq;mq;2.000000;2.100000;-10;1;0.000000;0.000000;-30;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;3;3600;1;0;7000;mq;mq;mq;mq;mq;mq;
07015;20160119150000;101690;-30;5;0;0.000000;274.450000;267.750000;61;13540;0;mq;mq;mq;0;mq;mq;mq;mq;101100;mq;mq;130;mq;mq;mq;mq;270.550000;mq;mq;0.700000;1.300000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20160119150000;101630;-50;5;80;4.600000;277.650000;273.250000;73;18000;2;2;mq;75;6;800;32;25;10;101360;mq;mq;580;mq;mq;mq;mq;mq;mq;mq;7.000000;7.500000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;8;800;2;3;2500;mq;mq;mq;mq;mq;mq;
07027;20160119150000;101610;-60;5;130;2.600000;272.550000;270.450000;84;15000;2;1;1;40;3;450;35;20;11;100760;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;3.600000;-10;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;3;7;330;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20160119150000;101660;-10;5;80;1.200000;272.950000;268.350000;71;16000;2;2;2;75;0;7500;30;20;11;99750;mq;mq;390;mq;mq;mq;mq;273.450000;mq;mq;1.700000;2.800000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;6;0;7500;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20160119150000;101650;-20;5;50;0.900000;272.150000;269.650000;83;8390;0;mq;mq;100;8;450;mq;mq;mq;100450;mq;mq;150;mq;mq;mq;mq;268.450000;mq;mq;1.800000;3.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;300;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20160119150000;101370;-40;5;60;1.100000;279.350000;278.450000;94;3000;10;2;2;90;7;150;36;mq;mq;100210;mq;mq;680;mq;mq;mq;mq;279.350000;mq;mq;1.800000;1.900000;-10;1;0.000000;0.000000;-30;0.000000;0.000000;-0.100000;2.600000;2.600000;mq;mq;mq;mq;7;7;120;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20160119150000;101470;-40;5;130;3.700000;277.750000;275.150000;83;10000;2;2;mq;90;2;800;34;22;mq;100750;mq;mq;730;mq;mq;mq;mq;mq;mq;mq;6.200000;7.600000;-10;1;mq;mq;mq;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;2;6;800;5;4;2500;mq;mq;mq;mq;mq;mq;
07130;20160119150000;101520;-30;5;100;1.500000;275.350000;273.550000;88;14660;0;mq;mq;100;8;250;mq;mq;mq;101060;mq;mq;620;mq;mq;mq;mq;275.050000;mq;mq;3.100000;3.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;240;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20160119150000;101590;-10;5;40;2.100000;273.650000;272.350000;91;19000;0;mq;mq;100;mq;250;mq;mq;mq;99780;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;3.100000;-10;mq;0.000000;mq;mq;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
